address,name,social,index,initial_balance_usd,total_usd_sold
0x53bebd20781aaa3a831f45b3c6889010a706ff9f,pman555,https://x.com/pman555,212,499.9998621378965,14804.43
0x2734150e229e3057edcb435bf879ece7ed91eff2,dylanmints,https://x.com/dylanmints,213,499.9998621378965,10756.02
MASKED,MASKED,MASKED,214,499.9998621378965,4788.86
0x4fda5b7e6fb5532afdc813b72fba8c9775b24ea1,LaNsLyDe,https://x.com/LaNsLyDe,215,499.9998621378965,3414.87
0xbaf6610405bd8c60432fbd329885dae617e647ca,kenzounnnnn,https://x.com/kenzounnnnn,216,499.9998621378965,7758.22
MASKED,MASKED,MASKED,217,499.9998621378965,0.0
0x7379bf6b840a24493cd269014205747718a278b3,Severus0x,https://x.com/Severus0x,218,499.9998621378965,642.7
0xf614da1510b4b48057b01f3450e2717f1495f89f,vol7Rh,https://x.com/vol7Rh,219,499.9998621378965,26597.04
MASKED,MASKED,MASKED,220,499.9998621378965,419.58
0x4c32f99977ab3d8d9a6fd85b05221c4a6b2bf8f5,FiguerasCapital,https://x.com/FiguerasCapital,221,499.9998621378965,4331.79
MASKED,MASKED,MASKED,222,499.9998621378965,0.0
0xc57b1f6d9b66d528af1cd2d0a7a2ffa389cd3a10,gfk_acid,https://x.com/gfk_acid,223,499.9998621378965,4152.96
0x2274b33699ecb9a22b1ee6b9d5b79f9c4c214e0e,digitalalpha_,https://x.com/digitalalpha_,224,499.9998621378965,2006.96
MASKED,MASKED,MASKED,225,499.9998621378965,0.0
0x579cbd5a39ab9789183abe77a40e70f15604c39b,CryptoCam22,https://x.com/CryptoCam22,226,499.9998621378965,897.79
0xc3ee5b816a03fcbd8258dcf8d1c2cfaa7d099ad5,Aliaskar_667,https://x.com/Aliaskar_667,227,499.9998621378965,25555.94
0xd4cd5ef0f09a8607a4aa0d5a42dbb6d72e2a39fd,0x_ultra,https://x.com/0x_ultra,228,499.9998621378965,1371.77
0xceadb39f5839edcb297d0692bb72ad1fc09943d9,beavintern,https://x.com/beavintern,229,499.9998621378965,59657.18
MASKED,MASKED,MASKED,230,499.9998621378965,14214.27
0x4f2339022f81e6692e2793a54e42966b5c86e011,erikaleetv,https://x.com/erikaleetv,231,499.9998621378965,13614.72
0xb74efa1cc2959f8b7afb6e4178647ea928b421aa,Spectura,https://x.com/Spectura,232,499.9998621378965,577.0
0x3504a1fa9ddc17b514d9a01f1c7712b2dd4bc16b,isaac31859155,https://x.com/isaac31859155,233,499.9998621378965,3543.86
MASKED,MASKED,MASKED,234,499.9998621378965,1085.81
0x0fa6708c05f9c53384ff653d1e473dd19b8ea802,tulch_,https://x.com/tulch_,235,499.9998621378965,22346.23
0x41c9b6dbde686577dd34e5099929349486980780,ionohc,https://x.com/ionohc,236,499.9998621378965,11986.72
0x2627f584d7a3a28c42b741bf4cb3f7cd1571546c,virkkk_,https://x.com/virkkk_,237,499.9998621378965,14594.25
0xb45f27c09222c17f4c4772d01c0de1c6ba35867d,BigDraci,https://x.com/BigDraci,238,499.9998621378965,13796.91
0x494cd6c475fcea42c99dcd04417ca1e46dd31f49,waleswoosh,https://x.com/waleswoosh,239,499.9998621378965,41934.43
0x921ae88e3618189ca7d832d740df2444fd0df4c1,MeivabeLLe,https://x.com/MeivabeLLe,240,499.9998621378965,10605.46
0x2ad2bd4ac9cb67f1bd5a692937decb66cc17706a,Heresy404,https://x.com/Heresy404,241,499.9998621378965,0.0
0x0c3260bfcc8bca13889fa140e2b22c1571e85757,ursisterbtw,https://x.com/ursisterbtw,242,499.9998621378965,10640.99
0x6a04bb9bfddf5de17d2d1e4d8bcfa29fa8d33af8,SmallCapScience,https://x.com/SmallCapScience,243,499.9998621378965,69023.92
0x92ebfd5913478ac0aa474090fe91643f84b30254,phomo_eth,https://x.com/phomo_eth,244,499.9998621378965,533.82
0x187552928d6219bb1195effc6845ad6d520105f5,Nirund14,https://x.com/Nirund14,245,499.9998621378965,8552.09
0xfbb8cf95f34813fbbf959aedac2cf89ea6469971,ChartFuMonkey,https://x.com/ChartFuMonkey,246,499.9998621378965,45633.78
0x8491fec2ff6cac2095cc57c334b992b6870fd1e6,Ki11_5trike,https://x.com/Ki11_5trike,247,499.9998621378965,616.47
0xaa77e2d3c9fe5894566edd820b590acd2ec106d0,JeremJames97934,https://x.com/JeremJames97934,248,499.9998621378965,3220.94
MASKED,MASKED,MASKED,249,499.9998621378965,0.0
0xd03c99866b072bfb2c77c1729efaddfacaa83d5a,FlacuMartin,https://x.com/FlacuMartin,250,499.9998621378965,6024.83
0x064c8ea2b66bb717d267f9885aa2de12d525e0ae,arnaud__cos,https://x.com/arnaud__cos,251,499.9998621378965,18926.65
0xeef7640beeb862da6b73ac2883662f3379bda383,0XleR0uch,https://x.com/0XleR0uch,252,499.9998621378965,95368.23
MASKED,MASKED,MASKED,253,499.9998621378965,0.0
MASKED,MASKED,MASKED,254,499.9998621378965,0.0
MASKED,MASKED,MASKED,255,499.9998621378965,0.0
MASKED,MASKED,MASKED,256,499.9998621378965,0.0
MASKED,MASKED,MASKED,257,499.9998621378965,0.0
MASKED,MASKED,MASKED,258,499.9998621378965,4699.33
0xaf5a2cb0a6eb68f66cda5ad684d76940fc1886b0,vohvohh,https://x.com/vohvohh,259,499.9998621378965,17870.11
0x5ae769ec6f156d07ed916d9c176a3dba2364ff1c,vydamo_,https://x.com/vydamo_,260,499.9998621378965,968.7
0x3d7a981f090476c0499a5f2a0de2e41826fa760d,0xMK021,https://x.com/0xMK021,261,499.9998621378965,46675.39
